SpeciesName	Megaclass	Superclass	Class	Subclass	Infraclass	Megacohort	Supercohort	Cohort	Subcohort	Infracohort	Section	Subsection	Division	Subdivision	Series	Subseries	Superorder	Order	Suborder	Infraorder	Family	Genus
Aplodactylus_etheridgii	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Centrarchiformes	Cirrhitoidei	NA	Aplodactylidae	Aplodactylus
Aplodactylus_arctidens	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Centrarchiformes	Cirrhitoidei	NA	Aplodactylidae	Aplodactylus
Asterorhombus_filifer	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Carangaria	NA	NA	Pleuronectiformes	Pleuronectoidei	NA	Bothidae	Asterorhombus
Arnoglossus_scapha	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Carangaria	NA	NA	Pleuronectiformes	Pleuronectoidei	NA	Bothidae	Arnoglossus
Bassanago_bulbiceps	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Elopocephalai		Elopomorpha								NA	NA	Anguilliformes		NA	Congridae	Bassanago
Conger_verreauxi	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Elopocephalai		Elopomorpha								NA	NA	Anguilliformes		NA	Congridae	Conger
Epigonus_robustus	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Pempheriformes		NA	Epigonidae	Epigonus
Epigonus_denticulatus	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Pempheriformes		NA	Epigonidae	Epigonus
Aldrovandia_affinis	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Elopocephalai		Elopomorpha								NA	NA	Notacanthiformes		NA	Halosauridae	Aldrovandia
Halosauropsis_macrochir	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Elopocephalai		Elopomorpha								NA	NA	Notacanthiformes		NA	Halosauridae	Halosauropsis
Vinciguerria_poweriae	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Stomiati							NA	NA	Stomiatiformes	Stomiatoidei	NA	Phosichthyidae	Vinciguerria
Vinciguerria_nimbaria	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Stomiati							NA	NA	Stomiatiformes	Stomiatoidei	NA	Phosichthyidae	Vinciguerria
Epinephelus_lanceolatus	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Perciformes	Serranoidei	NA	Serranidae	Epinephelus
Epinephelus_rivulatus	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Perciformes	Serranoidei	NA	Serranidae	Epinephelus
Scorpaena_papillosa	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Perciformes	Scorpaenoidei	NA	Scorpaenidae	Scorpaena
Dendrochirus_zebra	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Perciformes	Scorpaenoidei	NA	Scorpaenidae	Dendrochirus
Titi_titi	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Elopocephalai		Elopomorpha								NA	NA	Anguilliformes		NA	Congridae	Titi
Toto_toto	Osteichthyes	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossocephalai	Clupeocephala	Euteleosteomorpha	Neoteleostei	Eurypterygia	Ctenosquamata	Acanthomorphata	Acanthopterygii	Percomorphaceae	Eupercaria	NA	NA	Perciformes	Scorpaenoidei	NA	Scorpaenidae	Scorpaena
